county,town,office,district,party,candidate,votes
Addison,ADDISON,President,,Republican,Donald J. Trump,337
Addison,BRIDPORT,President,,Republican,Donald J. Trump,278
Addison,BRISTOL,President,,Republican,Donald J. Trump,558
Addison,CORNWALL,President,,Republican,Donald J. Trump,147
Addison,FERRISBURGH,President,,Republican,Donald J. Trump,501
Addison,GOSHEN,President,,Republican,Donald J. Trump,31
Addison,GRANVILLE,President,,Republican,Donald J. Trump,29
Addison,HANCOCK,President,,Republican,Donald J. Trump,54
Addison,LEICESTER,President,,Republican,Donald J. Trump,207
Addison,LINCOLN,President,,Republican,Donald J. Trump,188
Addison,MIDDLEBURY,President,,Republican,Donald J. Trump,595
Addison,MONKTON,President,,Republican,Donald J. Trump,360
Addison,NEW HAVEN,President,,Republican,Donald J. Trump,337
Addison,ORWELL,President,,Republican,Donald J. Trump,284
Addison,PANTON,President,,Republican,Donald J. Trump,126
Addison,RIPTON,President,,Republican,Donald J. Trump,58
Addison,SALISBURY,President,,Republican,Donald J. Trump,189
Addison,SHOREHAM,President,,Republican,Donald J. Trump,211
Addison,STARKSBORO,President,,Republican,Donald J. Trump,256
Addison,VERGENNES,President,,Republican,Donald J. Trump,326
Addison,WALTHAM,President,,Republican,Donald J. Trump,83
Addison,WEYBRIDGE,President,,Republican,Donald J. Trump,74
Addison,WHITING,President,,Republican,Donald J. Trump,68
Bennington,ARLINGTON,President,,Republican,Donald J. Trump,435
Bennington,BENNINGTON,President,,Republican,Donald J. Trump,1949
Bennington,DORSET,President,,Republican,Donald J. Trump,334
Bennington,LANDGROVE,President,,Republican,Donald J. Trump,18
Bennington,MANCHESTER,President,,Republican,Donald J. Trump,706
Bennington,PERU,President,,Republican,Donald J. Trump,54
Bennington,POWNAL,President,,Republican,Donald J. Trump,681
Bennington,READSBORO,President,,Republican,Donald J. Trump,173
Bennington,RUPERT,President,,Republican,Donald J. Trump,138
Bennington,SANDGATE,President,,Republican,Donald J. Trump,95
Bennington,SEARSBURG,President,,Republican,Donald J. Trump,36
Bennington,SHAFTSBURY,President,,Republican,Donald J. Trump,661
Bennington,STAMFORD,President,,Republican,Donald J. Trump,238
Bennington,SUNDERLAND,President,,Republican,Donald J. Trump,183
Bennington,WINHALL,President,,Republican,Donald J. Trump,158
Bennington,WOODFORD,President,,Republican,Donald J. Trump,66
Caledonia,BARNET,President,,Republican,Donald J. Trump,355
Caledonia,BURKE,President,,Republican,Donald J. Trump,336
Caledonia,DANVILLE,President,,Republican,Donald J. Trump,494
Caledonia,GROTON,President,,Republican,Donald J. Trump,234
Caledonia,HARDWICK,President,,Republican,Donald J. Trump,501
Caledonia,KIRBY,President,,Republican,Donald J. Trump,96
Caledonia,LYNDON,President,,Republican,Donald J. Trump,883
Caledonia,NEWARK,President,,Republican,Donald J. Trump,116
Caledonia,PEACHAM,President,,Republican,Donald J. Trump,113
Caledonia,RYEGATE,President,,Republican,Donald J. Trump,239
Caledonia,SAINT JOHNSBURY,President,,Republican,Donald J. Trump,1110
Caledonia,SHEFFIELD,President,,Republican,Donald J. Trump,131
Caledonia,STANNARD,President,,Republican,Donald J. Trump,22
Caledonia,SUTTON,President,,Republican,Donald J. Trump,220
Caledonia,WALDEN,President,,Republican,Donald J. Trump,168
Caledonia,WATERFORD,President,,Republican,Donald J. Trump,341
Caledonia,WHEELOCK,President,,Republican,Donald J. Trump,175
Chittenden,BOLTON,President,,Republican,Donald J. Trump,205
Chittenden,BURLINGTON,President,,Republican,Donald J. Trump,2082
Chittenden,CHARLOTTE,President,,Republican,Donald J. Trump,512
Chittenden,COLCHESTER,President,,Republican,Donald J. Trump,2425
Chittenden,ESSEX,President,,Republican,Donald J. Trump,3030
Chittenden,HINESBURG,President,,Republican,Donald J. Trump,623
Chittenden,HUNTINGTON,President,,Republican,Donald J. Trump,232
Chittenden,JERICHO,President,,Republican,Donald J. Trump,890
Chittenden,MILTON,President,,Republican,Donald J. Trump,2085
Chittenden,RICHMOND,President,,Republican,Donald J. Trump,515
Chittenden,SAINT GEORGE,President,,Republican,Donald J. Trump,110
Chittenden,SHELBURNE,President,,Republican,Donald J. Trump,941
Chittenden,SOUTH BURLINGTON,President,,Republican,Donald J. Trump,2059
Chittenden,UNDERHILL,President,,Republican,Donald J. Trump,504
Chittenden,WESTFORD,President,,Republican,Donald J. Trump,371
Chittenden,WILLISTON,President,,Republican,Donald J. Trump,1481
Chittenden,WINOOSKI,President,,Republican,Donald J. Trump,536
Essex,BLOOMFIELD,President,,Republican,Donald J. Trump,52
Essex,BRIGHTON,President,,Republican,Donald J. Trump,276
Essex,BRUNSWICK,President,,Republican,Donald J. Trump,28
Essex,CANAAN,President,,Republican,Donald J. Trump,207
Essex,CONCORD,President,,Republican,Donald J. Trump,292
Essex,EAST HAVEN,President,,Republican,Donald J. Trump,70
Essex,GRANBY,President,,Republican,Donald J. Trump,22
Essex,GUILDHALL,President,,Republican,Donald J. Trump,76
Essex,LEMINGTON,President,,Republican,Donald J. Trump,28
Essex,LUNENBURG,President,,Republican,Donald J. Trump,311
Essex,MAIDSTONE,President,,Republican,Donald J. Trump,60
Essex,NORTON,President,,Republican,Donald J. Trump,46
Essex,VICTORY,President,,Republican,Donald J. Trump,38
Franklin,BAKERSFIELD,President,,Republican,Donald J. Trump,209
Franklin,BERKSHIRE,President,,Republican,Donald J. Trump,308
Franklin,ENOSBURGH,President,,Republican,Donald J. Trump,429
Franklin,FAIRFAX,President,,Republican,Donald J. Trump,947
Franklin,FAIRFIELD,President,,Republican,Donald J. Trump,338
Franklin,FLETCHER,President,,Republican,Donald J. Trump,240
Franklin,FRANKLIN,President,,Republican,Donald J. Trump,296
Franklin,GEORGIA,President,,Republican,Donald J. Trump,1023
Franklin,HIGHGATE,President,,Republican,Donald J. Trump,699
Franklin,MONTGOMERY,President,,Republican,Donald J. Trump,231
Franklin,RICHFORD,President,,Republican,Donald J. Trump,388
Franklin,SAINT ALBANS CITY,President,,Republican,Donald J. Trump,807
